Month,Opening Date,Title,Production Company,Genre
FEBRUARY,16,Altered Reality,K Street Pictures,"Mystery,Thriller"
FEBRUARY,22,Lovely, Dark,Drama
FEBRUARY,23,Drive-Away Dolls,Focus Features/Working Title Films,"Comedy,LGBTQ+,Action,Mystery,Thriller"
FEBRUARY,23,Ordinary Angels,Lionsgate/Kingdom Story Company/Vertigo Entertainment/Stampede Ventures,Drama
FEBRUARY,23,Mea Culpa,Netflix/Tyler Perry Studios,"Crime,Drama,Mystery,Thriller"
FEBRUARY,23,Drugstore June,Shout! Studios/All Things Comedy/Utopia,Comedy
FEBRUARY,23,Right Hand Red,Redbox Entertainment/Magnolia Pictures,"Action,Mystery,Thriller"
FEBRUARY,23,Parallel,Vertical Entertainment,"Drama,Sci-Fi,Mystery,Thriller"
FEBRUARY,23,Red Right Hand,Redbox Entertainment/Magnolia Pictures,"Action,Mystery,Thriller"
FEBRUARY,24,Blue Christmas,Dreampost Media,"Crime,Mystery,Thriller"
FEBRYARY,17,No Other Land,Yabayay Media/Antipode Films,Documentary
MARCH,1,Dune: Part Two,Warner Bros. Pictures / Legendary Pictures,"Sci-Fi,Adventure,Action,Fantasy,Drama"
MARCH,1,Spaceman,Netflix/Tango Entertainment/Free Association,"Sci-Fi,Adventure,Drama"
MARCH,1,Problemista,A24/Fruit Tree,Comedy
MARCH,1,Megamind vs. the Doom Syndicate,Peacock/DreamWorks Animation Television,"Kids & Family,Comedy,Adventure,Animation"
MARCH,1,Outlaw Posse,Quiver Distribution,"Western,Action"
MARCH,1,Asleep in My Palm,Strike Back Studios,Drama
MARCH,1,Shayda,Madman Entertainment,Drama
MARCH,7,Ricky Stanicky,Amazon MGM Studios,"Comedy,Fantasy"
MARCH,7,The Thundermans Return,Paramount+/Nickelodeon Movies/Awesomeness Films,"Kids & Family,Action,Comedy"
MARCH,8,Kung Fu Panda 4,Universal Pictures/DreamWorks Animation,"Kids & Family,Comedy,Adventure,Animation,Action"
MARCH,8,Imaginary,Lionsgate/Blumhouse Productions,"Horror,Mystery,Thriller"
MARCH,8,Damsel,Netflix/Roth/Kirschenbaum Films,"Fantasy,Adventure,Action"
MARCH,8,Love Lies Bleeding,A24/Film4,"Mystery,Thriller,Crime,Drama,LGBTQ+,Action"
MARCH,8,Cabrini,Angel Studios,"Biography,History,Drama"
MARCH,8,Accidental Texan,Roadside Attractions,"Comedy,Drama"
MARCH,8,American Dreamer,Vertical Entertainment,"Comedy,Drama"
MARCH,8,Night Shift,Quiver Distribution,"Horror,Mystery,Thriller"
MARCH,8,Glitter & Doom,Music Box Films,"Musical,LGBTQ+,Romance"
MARCH,11,The Primevals,Full Moon Entertainment/Castel Film Romania,"Sci-Fi,Animation,Adventure"
MARCH,13,Little Wing,Paramount+/Awesomeness Films,Drama
MARCH,15,Arthur the King,Lionsgate/Entertainment One/Tucker Tooley Entertainment,"Drama,Adventure"
MARCH,15,The Neon Highway,Sessions Production Payroll / Mountain Movies,"Music,Drama"
MARCH,15,The American Society of Magical Negroes,Focus Features,"Comedy,Fantasy"
MARCH,15,Shirley,Netflix/Participant/Royal Ties Productions,"Drama,Biography"
MARCH,15,Irish Wish,Netflix/Motion Picture Corporation of America,"Romance,Comedy"
MARCH,15,One Life,Bleecker Street/BBC Film/FilmNation Entertainment,"History,Drama,Biography"
MARCH,15,Knox Goes Away,Saban Films/FilmNation Entertainment/Brookstreet Pictures,"Mystery,Thriller"
MARCH,15,Snack Shack,Republic Pictures/MRC/T-Street,Comedy
MARCH,15,Prey,Vertical/Voltage Pictures,"Action,Adventure,Sci-Fi"
MARCH,19,Bardejov,Gravitas Ventures,"History,Drama,War"
MARCH,21,Road House,Amazon Prime Video/Metro-Goldwyn-Mayer/Silver Pictures,"Action,Drama,Mystery,Thriller"
MARCH,21,Earlybird,Good Deed Entertainment,Comedy
MARCH,22,Ghostbusters: Frozen Empire,Columbia Pictures/Ghost Corps/TSG Entertainment,"Comedy,Fantasy,Adventure"
MARCH,22,Immaculate,Neon/Black Bear Pictures,Horror
MARCH,22,Late Night with the Devil,IFC Films/Shudder/Image Nation/Cinetic Media/AGC Studios,"Horror,Mystery,Thriller"
MARCH,22,Sleeping Dogs,The Avenue / Nickel City Productions / Highland Film Group,"Mystery,Thriller,Crime,Drama"
MARCH,22,Rose's War,Bankside Films,"Mystery,Thriller,Crime,Drama"
MARCH,22,The Casagrandes Movie,Netflix/Nickelodeon Animation Studio,"Kids & Family,Comedy,Animation"
MARCH,22,Peter Five Eight,Invincible Entertainment,"Mystery,Thriller"
MARCH,22,Riddle of Fire,Vinegar Syndrome/ Yellow Veil Pictures,"Action,Adventure,Comedy,Fantasy"
MARCH,22,Free Time,Cartilage Films,"Comedy,Drama"
MARCH,26,Easter Bloody Easter,WallyBird Productions,"Holiday,Horror,Comedy,Mystery,Thriller"
MARCH,29,Godzilla x Kong: The New Empire,Warner Bros. Pictures/Legendary Pictures,"Sci-Fi,Action,Adventure"
MARCH,29,Asphalt City,Roadside Attractions/Vertical Entertainment/FilmNation Entertainment,"Mystery,Thriller,Drama"
MARCH,29,The Beautiful Game,Netflix,"Drama,Sports"
MARCH,29,The Listener,Vertical Entertainment,Drama
MARCH,29,Lousy Carter,Magnolia Pictures,Comedy
MARCH,29,Wicked Little Letters,StudioCanal/Sony Pictures,"Comedy,History,Mystery,Thriller"
APRIL,4,Música,Amazon MGM Studios / Wonderland Sound and Vision,"Drama,Comedy,Musical,Romance"
APRIL,5,The First Omen,20th Century Studios/TSG Entertainment,"Horror,Mystery,Thriller"
APRIL,5,Monkey Man,Universal Pictures/Bron Studios/Thunder Road Films/Monkeypaw Productions,"Action,Mystery,Thriller"
APRIL,5,The Greatest Hits,Searchlight Pictures/Hulu,"Drama,Romance,Comedy,Musical"
APRIL,5,Parachute,Vertical Entertainment,"Drama,Romance"
APRIL,5,Strictly Confidential,Lionsgate,"Mystery,Thriller"
APRIL,5,A Bit of Light,Quiver Distribution/ICM Partners,Drama
APRIL,5,The People's Joker,Altered Innocence / Haunted Gay Ride Productions,"Comedy,Drama"
APRIL,5,Housekeeping for Beginners,Focus Features/Tango Entertainment,"Drama,LGBTQ+"
APRIL,5,Model House,Shout! Studios/ Rebellium Films,"Mystery,Thriller"
APRIL,12,Civil War,A24/DNA Films/IPR.VC,"Action,War,Mystery,Thriller,Drama"
APRIL,12,Rebel Moon – Part Two: The Scargiver,Netflix/The Stone Quarry,"Sci-Fi,Action,Adventure,Drama,Fantasy"
APRIL,12,Damaged,Lionsgate/Signature Entertainment,"Mystery,Thriller,Crime,Drama"
APRIL,12,The Absence of Eden,Roadside Attractions/Vertical Entertainment/Ingenious Media,"Drama,Mystery,Thriller"
